t_s,coating,power_w,mean_solar_view_factor,mean_earth_view_factor,temp_internal_k,temp_internal_c,temp_min_k,temp_max_k,internal_cold_limit_flag,internal_hot_limit_flag,external_cold_limit_flag,external_hot_limit_flag,coating_x_pos,solar_view_x_pos,earth_view_x_pos,temp_x_pos_k,temp_x_pos_c,coating_x_neg,solar_view_x_neg,earth_view_x_neg,temp_x_neg_k,temp_x_neg_c,coating_y_pos,solar_view_y_pos,earth_view_y_pos,temp_y_pos_k,temp_y_pos_c,coating_y_neg,solar_view_y_neg,earth_view_y_neg,temp_y_neg_k,temp_y_neg_c,coating_z_pos,solar_view_z_pos,earth_view_z_pos,temp_z_pos_k,temp_z_pos_c,coating_z_neg,solar_view_z_neg,earth_view_z_neg,temp_z_neg_k,temp_z_neg_c,component_limit_flag
0.0,mixed,1200.0,0.2680859413424812,0.16666666666666666,293.15,20.0,293.15,293.15,False,False,False,False,white,0.0,0.0,293.15,20.0,MLI,0.2414344940100425,4.930380657631324e-32,293.15,20.0,white,0.0,0.0,293.15,20.0,MLI,0.6233162288324143,0.0,293.15,20.0,MLI,0.0,0.0,293.15,20.0,OSR/FEP,0.7437649252124303,0.9999999999999999,293.15,20.0,False
600.0,mixed,500.0,0.2796713795431125,0.16666666666666666,295.9689053755523,22.818905375552333,261.49460338037784,295.9689053755523,False,False,False,False,white,0.3611211146688322,1.1102230246251565e-16,261.49460338037784,-11.655396619622138,MLI,0.0,0.0,292.5685347966308,19.41853479663081,white,0.0,0.0,261.49460338037784,-11.655396619622138,MLI,0.6233159725250809,5.551115123125783e-17,292.5685347966308,19.41853479663081,MLI,0.0,0.0,292.5685347966308,19.41853479663081,OSR/FEP,0.6935911900647621,0.9999999999999998,278.1395326207021,4.989532620702107,False
1200.0,mixed,800.0,0.28368357349538703,0.16666666666666666,293.34821134426056,20.198211344260585,255.52241479168953,293.34821134426056,False,False,False,False,white,0.6609834992913284,0.0,255.52241479168953,-17.62758520831045,MLI,0.0,1.942890293094024e-16,291.9416335556563,18.791633555656347,white,0.0,0.0,255.52241479168953,-17.62758520831045,MLI,0.6233634683577641,1.3877787807814457e-17,291.9416335556563,18.791633555656347,MLI,0.0,0.0,291.9416335556563,18.791633555656347,OSR/FEP,0.41775447332322974,0.9999999999999998,271.5974723543382,-1.552527645661769,False
1800.0,mixed,1200.0,0.2611605186230265,0.16666666666666674,293.008836947858,19.858836947858038,253.75326794014774,303.54783415395804,False,False,False,False,white,0.7601021954967497,1.5265566588595902e-16,275.4683932098237,2.318393209823739,MLI,0.0,0.0,290.83296615633367,17.68296615633369,white,0.0,0.0,253.75326794014774,-19.39673205985224,MLI,0.6233536075639334,0.0,303.54783415395804,30.39783415395806,MLI,0.0,0.0,290.83296615633367,17.68296615633369,OSR/FEP,0.18350730867747586,1.0000000000000002,272.73129291541113,-0.41870708458884565,False
2400.0,mixed,1200.0,0.2366086736111723,0.16666666666666666,294.8303512010404,21.680351201040423,253.9827870364748,308.2519146493593,False,False,False,False,white,0.7818280614541736,0.0,282.3650219099462,9.215021909946245,MLI,0.0,5.551115123125783e-17,291.1007282105969,17.950728210596935,white,0.0,1.3877787807814457e-17,253.9827870364748,-19.167212963525174,MLI,0.6233254979009443,0.0,308.2519146493593,35.101914649359344,MLI,0.0,0.0,291.1007282105969,17.950728210596935,OSR/FEP,0.014498482311915764,0.9999999999999999,266.5422384415701,-6.6077615584299,False
3000.0,mixed,1200.0,0.25105783941472604,0.16666666666666666,296.18132181757807,23.03132181757809,254.78019860345023,310.8493267145181,False,False,False,False,white,0.7744020199670173,0.0,284.76431012995886,11.61431012995888,MLI,0.0,0.0,292.158684354519,19.008684354519005,white,0.0,0.0,254.78019860345023,-18.369801396549747,MLI,0.6232950275490053,0.0,310.8493267145181,37.69932671451812,MLI,0.10864998897233366,0.0,292.158684354519,19.008684354519005,OSR/FEP,0.0,1.0,261.58872549377514,-11.561274506224834,False
3600.0,mixed,1200.0,0.26341261976371,0.16666666666666666,297.3441259143974,24.194125914397432,255.52717639670072,312.50617614200576,False,False,False,False,white,0.7555654714170369,0.0,285.4311370995408,12.281137099540842,MLI,0.0,5.551115123125783e-17,293.2867394391729,20.136739439172914,white,0.0,0.0,255.52717639670072,-17.622823603299253,MLI,0.6232658923579,2.7755575615628914e-17,312.50617614200576,39.35617614200578,MLI,0.20164435480732332,0.0,295.50374735533217,22.35374735533219,OSR/FEP,0.0,0.9999999999999998,260.21690752173856,-12.933092478261415,False
4200.0,mixed,1200.0,0.27165386109054435,0.16666666666666666,298.5133689981282,25.363368998128237,256.24116688696944,313.80349322134504,False,False,False,False,white,0.7323256249862226,1.1102230246251565e-16,285.4740915641911,12.324091564191122,MLI,0.0,0.0,294.4068841429588,21.256884142958825,white,0.0,0.0,256.24116688696944,-16.90883311303054,MLI,0.6232385966267414,0.0,313.80349322134504,40.65349322134506,MLI,0.274358944930302,0.0,299.2954105523057,26.145410552305748,OSR/FEP,0.0,1.0,260.02517198067693,-13.124828019323047,False
4800.0,mixed,1200.0,0.27729749443334506,0.16666666666666666,299.71095137341695,26.56095137341697,256.96017539269354,314.9916778767584,False,False,False,False,white,0.7076500553239371,0.0,285.30318701007025,12.153187010070269,MLI,0.0,2.220446049250313e-16,295.54013192902653,22.390131929026552,white,0.0,0.0,256.96017539269354,-16.189824607306434,MLI,0.6232129256319996,0.0,314.9916778767584,41.84167787675841,MLI,0.33292198564413367,0.0,302.8424139092646,29.692413909264644,OSR/FEP,0.0,0.9999999999999998,260.2208241884806,-12.929175811519372,False
5400.0,mixed,1200.0,0.2812148011924713,0.16666666666666666,300.919646441528,27.76964644152804,257.68715834159366,316.15349469611505,False,False,False,False,white,0.6828502400067007,5.551115123125783e-17,285.0650045672296,11.91500456722963,MLI,0.0,0.0,296.68956256969943,23.539562569699456,white,0.0,0.0,257.68715834159366,-15.462841658406319,MLI,0.6231885609454281,0.0,316.15349469611505,43.00349469611507,MLI,0.3812500062026988,0.0,306.0243325740801,32.87433257408014,OSR/FEP,0.0,1.0,260.5941978796719,-12.555802120328053,False
