t_s,q_w,q_x,q_y,q_z,omega_x_rad_s,omega_y_rad_s,omega_z_rad_s,angular_speed_rad_s,angular_speed_deg_s,q_norm,rotational_kinetic_energy_j,angular_momentum_norm_nms,magnetic_field_norm_t,gravity_gradient_torque_x_nm,gravity_gradient_torque_y_nm,gravity_gradient_torque_z_nm,srp_torque_x_nm,srp_torque_y_nm,srp_torque_z_nm,drag_torque_x_nm,drag_torque_y_nm,drag_torque_z_nm,residual_magnetic_torque_x_nm,residual_magnetic_torque_y_nm,residual_magnetic_torque_z_nm,magnetic_torque_x_nm,magnetic_torque_y_nm,magnetic_torque_z_nm,total_torque_x_nm,total_torque_y_nm,total_torque_z_nm,commanded_dipole_x_a_m2,commanded_dipole_y_a_m2,commanded_dipole_z_a_m2,wheel_momentum_x_nms,wheel_momentum_y_nms,wheel_momentum_z_nms,wheel_momentum_norm_nms,wheel_desat_active_flag,wheel_saturated_flag
0.0,1.0,0.0,0.0,0.0,0.17453292519943295,0.0,0.0,0.17453292519943295,10.0,1.0,2.062513779805839,23.634666954089877,4.586374958754879e-05,7.663059256572068e-05,-7.54520644749484e-20,2.204042129147693e-20,0.0,0.0,0.0,-1.761766611517007e-22,-2.3582796568837013e-06,-3.523533223034014e-22,-4.973414839435599e-06,-6.95868403557413e-06,5.976291286594138e-06,-0.005235987755982987,9.118443919920328e-19,1.061734896978036e-18,-0.005164330578256702,-9.316963692456995e-06,5.976291286595222e-06,2.7941610575135583e-30,-86.60772464744082,74.38087252075393,0.0,0.0,0.0,0.0,False,False
600.0,0.32320094350916717,-0.9463303518433677,6.125859452668877e-05,-0.00010743452378996414,0.15280965751876424,4.2793684579457275e-07,1.4778525267189264e-08,0.15280965751936418,8.755348444699113,1.0,1.5810431698265328,20.692974455858405,2.453933707574915e-05,2.4540970511560926e-05,-6.65362548405116e-05,8.069762674554614e-05,0.0,0.0,0.0,0.0,0.0,0.0,1.1195402734439803e-07,-1.8475465134943078e-06,-4.142909136366208e-06,-0.0007985710247692588,0.001623728385005556,-0.0006218125313921042,-0.0007739181002303535,0.00155534458365155,-0.0005452578137829242,8.513044993753827e-05,-27.884200122202593,-72.81364226118475,0.00038696892513654475,-0.0013261901218219669,5.9258146927040807e-05,0.0013827641578435285,False,False
1200.0,0.991805976671207,0.1256522387679616,0.004017113545103751,-0.02272184699002777,0.14965130977717764,4.513584784349053e-05,-0.00012700578130555592,0.14965137047731314,8.57439192669873,1.0,1.516365274692341,20.26531070385858,8.514926141507703e-06,1.3169114572123973e-06,2.6300915082154378e-05,-9.80941877560651e-06,1.5974631775977732e-07,8.009940006579342e-08,-1.9934353542086454e-07,0.0,0.0,0.0,7.422837162738228e-07,1.0970166717914905e-06,-7.7510152151231e-07,-0.0027508550566970364,0.0003967298776980251,0.0019687652507191034,-0.0027486361152057903,0.0004242079088520368,0.0019579813868865637,-0.18552114098730335,392.06751937212834,-79.26554002397268,0.0002866723529339426,-0.0005732862007900622,-0.0005053257818325057,0.0008162060105988069,False,False
1800.0,0.7263645274593505,-0.6864885827114668,-0.0014165453081451977,-0.03355581104586748,0.1379251200313766,3.301574639061353e-05,7.474450188957133e-05,0.13792514423574012,7.902528653441044,1.0,1.2880394012135918,18.67737141340162,4.121929740425302e-06,-4.4326095913986134e-08,-6.187386257761187e-06,-7.524795933123983e-07,1.3637280411962985e-07,2.81009683379507e-07,1.4876891683000072e-07,0.0,0.0,0.0,-1.868224821169214e-07,6.577793604810544e-08,8.788458005638964e-07,-0.0016277246970028217,0.00026235018558893567,-1.1552336947036105e-05,-0.0016278194727767329,0.0002565095869506021,-1.1277201822954606e-05,-0.22047511312941107,16.231188715429735,399.6704891577668,0.00029195402877083194,-0.0010933293994337028,-0.0008668136346398826,0.0014254726261065782,False,False
2400.0,-0.2642110370021735,0.9640053414458969,-0.016417395775424986,0.024833419135695572,0.13071863340272044,7.101829697045706e-05,-1.8781726155017913e-05,0.13071865404381489,7.489627180341305,1.0,1.1569573137165294,17.701488465613398,2.6254198733154104e-06,5.044461801305892e-07,4.4136253908731075e-06,-6.500571803756359e-06,-1.0848918212545468e-07,6.554866877555149e-08,3.153013674142366e-07,0.0,0.0,0.0,-2.2229494357795954e-07,-2.866505923636801e-07,3.15878589584478e-07,-0.0007986092413032333,0.000247586122276362,0.0006354345863683758,-0.0007984355792488062,0.00025177864574364695,0.0006295651945216181,0.22333762571328877,-372.61304972122235,145.4629344463901,0.00029558153693936016,-0.0010135263564024612,-0.0007771358609455952,0.0013109325941746716,False,False
3000.0,-0.9506393142684818,0.30943451528805027,0.0014354507265455783,0.023089270166286414,0.127215613087242,0.00012476425442520402,-2.3836279549070687e-05,0.12721567650038365,7.28892135137359,1.0,1.0957806473838871,17.22713499954881,1.8759387960386446e-06,-1.7182600405022146e-07,-1.1372258835527356e-05,-4.861455815246548e-07,2.356799199728827e-07,2.641428216375585e-07,-7.514560748942762e-08,0.0,0.0,0.0,1.7455460698194787e-09,1.6933254706258956e-07,3.3168290984590124e-07,-0.00038468068209103186,0.0005713052701014098,-0.0002978161846132624,-0.0003846150826290394,0.0005603664866345826,-0.00029804579289243057,-0.11481324003415636,184.84059674053785,354.7308002056232,0.00029003824142233807,-0.0010128992565217876,-0.0007140751763758838,0.001272788451733438,False,False
3600.0,-0.9947444568998736,0.10094335780507055,-0.0036552533062115668,0.016749421043144544,0.1255475254723931,0.00015918567397356457,-3.996674824449577e-06,0.12554762645424006,7.193349123712959,1.0,1.067233657187743,17.001259785147724,1.422484415403294e-06,7.505346947803191e-07,-8.892960515310085e-06,1.6258800223023924e-06,2.2026466273378614e-07,1.8821704929330243e-07,-1.582037515276186e-07,0.0,0.0,0.0,-2.7862914726073163e-09,1.08918887703157e-07,2.2898294129674328e-07,-0.00021212467840674683,0.00048250871844362353,-0.00021434169768658258,-0.00021115666534070532,0.0004739128938653099,-0.00021264503847451106,-0.19416830686457742,162.31661442795394,365.5862127861437,0.00029110211896853956,-0.0009763899600136084,-0.0005838538309516271,0.0011742925928405752,False,False
4200.0,-0.9625624040762806,0.27078618245123337,-0.009844421580885285,0.007179764349658891,0.12463356850079872,0.00014273184108565246,6.497359457795733e-05,0.12463366716577724,7.140983113837261,1.0,1.0517518549527696,16.877497077868018,1.123155366269991e-06,-1.8443506414881844e-07,-7.316629991534185e-06,-3.099406518080362e-07,2.3666300566662949e-07,2.506258997910109e-07,-9.738716164674269e-08,0.0,0.0,0.0,-3.5473678503531964e-08,1.7375800877416587e-08,1.7664631576896103e-07,-0.00015960018461840596,0.0003770831818085252,0.0001848581384519003,-0.00015958343035539168,0.0003700345535176595,0.00018462745695421446,0.014396359077492087,-176.0682963282964,359.1656370267012,0.00029003258869213694,-0.0008876361970417909,-0.0004726347141293895,0.0010466138226693001,False,False
4800.0,-0.7728395651693216,0.634544476362842,-0.007698902381703082,-0.003611222565546403,0.12394409893152117,2.4068287165908935e-05,0.00011662541368802688,0.12394415613781987,7.101477042007576,1.0,1.0401467041777817,16.784124957970104,9.148280555895646e-07,-1.1342553971003088e-06,-3.5287036090973885e-06,-2.6762121359848685e-06,1.6591734479441266e-07,2.921709014811087e-07,1.0642166263283771e-07,0.0,0.0,0.0,-3.571542257843023e-08,-3.184609488706666e-08,7.916950053958762e-08,-0.00014767341467918787,-2.0783756442336057e-05,0.00033416501533245464,-0.0001486774681540722,-2.4052135244839402e-05,0.0003316743943596422,0.10084786920714282,-399.2313127798379,-24.786059101731695,0.0002957796050457942,-0.0007951090432345505,-0.0003632018835978001,0.0009228215285977014,False,False
5400.0,-0.2672190986648538,0.9636067396230634,0.0017095633223986788,-0.007285743270226321,0.12330124019193155,-0.00012805113089667464,7.351764749132005e-05,0.12330132860113475,7.0646457372007285,1.0,1.0293854629700205,16.697075230343984,7.641027036374886e-07,9.725888884748517e-07,2.5303258336210367e-06,-2.2655984140810457e-06,-1.0413547709024167e-07,6.860229159371749e-08,3.111743915710596e-07,0.0,0.0,0.0,1.4775526032308142e-08,2.762207257878167e-08,-3.857958971669227e-09,-0.00014323992580740372,-0.00026903579019811483,2.2771427714234154e-05,-0.0001423566968699868,-0.00026640924000032127,2.0813145732752497e-05,0.20249600664876574,-33.84276785551664,-398.565711093221,0.00029524645225445035,-0.0007520102871997326,-0.00025256070874814316,0.0008464495562208231,False,False
