t_s,gs_range_m,gs_elevation_rad,gs_contact_flag,moon_range_m,moon_occulted_flag,xband_range_m,xband_frequency_hz,xband_data_rate_bps,xband_tx_power_w,xband_tx_gain_dbi,xband_rx_gain_dbi,xband_eirp_dbw,xband_g_over_t_db_per_k,xband_fspl_db,xband_propagation_loss_db,xband_implementation_loss_db,xband_carrier_power_dbw,xband_noise_density_dbw_hz,xband_cn0_db_hz,xband_ebn0_db,xband_required_ebn0_db,xband_margin_db,xband_margin_threshold_db,xband_geometry_flag,xband_margin_ok_flag,xband_available_flag,xband_active_rate_bps,xband_volume_bits,xband_cumulative_volume_bits,uhf_range_m,uhf_frequency_hz,uhf_data_rate_bps,uhf_tx_power_w,uhf_tx_gain_dbi,uhf_rx_gain_dbi,uhf_eirp_dbw,uhf_g_over_t_db_per_k,uhf_fspl_db,uhf_propagation_loss_db,uhf_implementation_loss_db,uhf_carrier_power_dbw,uhf_noise_density_dbw_hz,uhf_cn0_db_hz,uhf_ebn0_db,uhf_required_ebn0_db,uhf_margin_db,uhf_margin_threshold_db,uhf_geometry_flag,uhf_margin_ok_flag,uhf_available_flag,uhf_active_rate_bps,uhf_volume_bits,uhf_cumulative_volume_bits
0.0,12297673.03536366,-1.1771974329649066,False,383952102.09101576,False,12297673.03536366,8400000000.0,100000000.0,20.0,32.23670662807107,46.358511105937545,45.24700658471088,24.59759851538073,192.72982778409303,3.2,2.0,-104.32431009344461,-206.83825458266085,102.51394448921624,20.513944489216243,5.0,15.513944489216243,3.0,False,True,False,0.0,0.0,0.0,383952102.09101576,450000000.0,10000.0,25.0,20.0,18.0,33.979400086720375,-8.989700043360187,197.1975744902085,2.5,2.0,-147.71817440348812,-201.60946712985748,53.89129272636936,11.891292726369358,6.0,5.8912927263693575,3.0,True,True,True,10000.0,6000000.0,6000000.0
600.0,10374861.498338923,-0.7147250253745465,False,378472478.8408162,False,10374861.498338923,8400000000.0,100000000.0,20.0,32.23670662807107,46.358511105937545,45.24700658471088,24.59759851538073,191.2530150972448,3.2,2.0,-102.84749740659637,-206.83825458266085,103.99075717606448,21.990757176064477,5.0,16.990757176064477,3.0,False,True,False,0.0,0.0,0.0,378472478.8408162,450000000.0,10000.0,25.0,20.0,18.0,33.979400086720375,-8.989700043360187,197.0727195903804,2.5,2.0,-147.59331950366,-201.60946712985748,54.016147626197466,12.016147626197466,6.0,6.016147626197466,3.0,True,True,True,10000.0,6000000.0,12000000.0
1200.0,9251527.837450167,-0.2164929013843272,False,374567131.9322769,False,9251527.837450167,8400000000.0,100000000.0,20.0,32.23670662807107,46.358511105937545,45.24700658471088,24.59759851538073,190.2576381418619,3.2,2.0,-101.85212045121347,-206.83825458266085,104.98613413144739,22.986134131447386,5.0,17.986134131447386,3.0,False,True,False,0.0,0.0,0.0,374567131.9322769,450000000.0,10000.0,25.0,20.0,18.0,33.979400086720375,-8.989700043360187,196.98262680939135,2.5,2.0,-147.50322672267097,-201.60946712985748,54.106240407186505,12.106240407186505,6.0,6.106240407186505,3.0,True,True,True,10000.0,6000000.0,18000000.0
1800.0,9363974.09333222,0.2458740486573672,True,372068208.5112508,False,9363974.09333222,8400000000.0,100000000.0,20.0,32.23670662807107,46.358511105937545,45.24700658471088,24.59759851538073,190.36257301298818,3.2,2.0,-101.95705532233976,-206.83825458266085,104.8811992603211,22.881199260321097,5.0,17.881199260321097,3.0,True,True,True,100000000.0,60000000000.0,60000000000.0,372068208.5112508,450000000.0,10000.0,25.0,20.0,18.0,33.979400086720375,-8.989700043360187,196.9244847608693,2.5,2.0,-147.44508467414892,-201.60946712985748,54.16438245570856,12.164382455708562,6.0,6.164382455708562,3.0,True,True,True,10000.0,6000000.0,24000000.0
2400.0,10429361.459354427,0.6074527203017119,True,370504783.24839574,False,10429361.459354427,8400000000.0,100000000.0,20.0,32.23670662807107,46.358511105937545,45.24700658471088,24.59759851538073,191.2985233318472,3.2,2.0,-102.89300564119878,-206.83825458266085,103.94524894146207,21.94524894146207,5.0,16.94524894146207,3.0,True,True,True,100000000.0,60000000000.0,120000000000.0,370504783.24839574,450000000.0,10000.0,25.0,20.0,18.0,33.979400086720375,-8.989700043360187,196.8879098799981,2.5,2.0,-147.40850979327772,-201.60946712985748,54.20095733657976,12.200957336579762,6.0,6.200957336579762,3.0,True,True,True,10000.0,6000000.0,30000000.0
3000.0,11990093.395829067,0.8659936513731261,True,369561272.27947205,False,11990093.395829067,8400000000.0,100000000.0,20.0,32.23670662807107,46.358511105937545,45.24700658471088,24.59759851538073,192.50982026337192,3.2,2.0,-104.1043025727235,-206.83825458266085,102.73395200993735,20.733952009937354,5.0,15.733952009937354,3.0,True,True,True,100000000.0,60000000000.0,180000000000.0,369561272.27947205,450000000.0,10000.0,25.0,20.0,18.0,33.979400086720375,-8.989700043360187,196.86576256888372,2.5,2.0,-147.38636248216335,-201.60946712985748,54.22310464769413,12.223104647694129,6.0,6.223104647694129,3.0,True,True,True,10000.0,6000000.0,36000000.0
3600.0,13741255.214212522,1.0495843452787301,True,369047299.89626294,False,13741255.214212522,8400000000.0,100000000.0,20.0,32.23670662807107,46.358511105937545,45.24700658471088,24.59759851538073,193.6938970585922,3.2,2.0,-105.28837936794378,-206.83825458266085,101.54987521471708,19.549875214717076,5.0,14.549875214717076,3.0,True,True,True,100000000.0,60000000000.0,240000000000.0,369047299.89626294,450000000.0,10000.0,25.0,20.0,18.0,33.979400086720375,-8.989700043360187,196.85367414130158,2.5,2.0,-147.3742740545812,-201.60946712985748,54.23519307527627,12.235193075276271,6.0,6.235193075276271,3.0,True,True,True,10000.0,6000000.0,42000000.0
4200.0,15528619.785286833,1.1831844228278807,True,368844208.4953232,False,15528619.785286833,8400000000.0,100000000.0,20.0,32.23670662807107,46.358511105937545,45.24700658471088,24.59759851538073,194.75602607279612,3.2,2.0,-106.3505083821477,-206.83825458266085,100.48774620051316,18.487746200513158,5.0,13.487746200513158,3.0,True,True,True,100000000.0,60000000000.0,300000000000.0,368844208.4953232,450000000.0,10000.0,25.0,20.0,18.0,33.979400086720375,-8.989700043360187,196.84889287056058,2.5,2.0,-147.3694927838402,-201.60946712985748,54.23997434601728,12.239974346017277,6.0,6.239974346017277,3.0,True,True,True,10000.0,6000000.0,48000000.0
4800.0,17280269.057349384,1.2827582901645205,True,368874192.43792844,False,17280269.057349384,8400000000.0,100000000.0,20.0,32.23670662807107,46.358511105937545,45.24700658471088,24.59759851538073,195.68437894812257,3.2,2.0,-107.27886125747415,-206.83825458266085,99.5593933251867,17.559393325186704,5.0,12.559393325186704,3.0,True,True,True,100000000.0,60000000000.0,360000000000.0,368874192.43792844,450000000.0,10000.0,25.0,20.0,18.0,33.979400086720375,-8.989700043360187,196.8495989318875,2.5,2.0,-147.37019884516712,-201.60946712985748,54.239268284690354,12.239268284690354,6.0,6.239268284690354,3.0,True,True,True,10000.0,6000000.0,54000000.0
5400.0,18963594.501183204,1.3574027603003678,True,369083778.16506207,False,18963594.501183204,8400000000.0,100000000.0,20.0,32.23670662807107,46.358511105937545,45.24700658471088,24.59759851538073,196.49178214754073,3.2,2.0,-108.08626445689231,-206.83825458266085,98.75199012576854,16.751990125768543,5.0,11.751990125768543,3.0,True,True,True,100000000.0,60000000000.0,420000000000.0,369083778.16506207,450000000.0,10000.0,25.0,20.0,18.0,33.979400086720375,-8.989700043360187,196.85453265065487,2.5,2.0,-147.3751325639345,-201.60946712985748,54.23433456592298,12.234334565922978,6.0,6.234334565922978,3.0,True,True,True,10000.0,6000000.0,60000000.0
