t_s,x_eci_m,y_eci_m,z_eci_m,vx_eci_mps,vy_eci_mps,vz_eci_mps,x_ecef_m,y_ecef_m,z_ecef_m,lat_rad,lon_rad,alt_m,altitude_m,sun_hat_x,sun_hat_y,sun_hat_z,moon_hat_x,moon_hat_y,moon_hat_z,eclipse_flag,solar_flux_w_m2,gs_range_m,gs_elevation_rad,gs_azimuth_rad,gs_contact_flag,moon_range_m,moon_occulted_flag,earth_view_scale,earth_ir_flux_w_m2,albedo_flux_w_m2,b_eci_x_t,b_eci_y_t,b_eci_z_t,atmospheric_density_kg_m3
0.0,-1.2634932691720468e-09,-3079748.3491500923,-6150115.340111622,9985.932516135252,-8.21363021742017e-13,-1.6402240531146167e-12,-1.2634932691720468e-09,-3079748.3491500923,-6150115.340111622,-1.1090215203992158,-1.570796326794897,517112.82705025654,500000.00000000093,-0.24143449401004236,0.8903683513808289,0.38594505303410676,0.9918694085703038,-0.12725688431710538,0.0008727750561162371,True,0.0,12297673.03536366,-1.1771974329649066,3.835497219851254,False,383952102.09101576,False,0.8598962264831955,203.79540567651733,0.0,1.225912470625574e-20,2.9881456432970684e-05,3.479342017787065e-05,9.999999999999844e-13
600.0,5612302.555403033,-2469363.837292631,-4928037.908030684,8253.531328045323,1848.2944002978475,3699.8691270833583,5498924.759609672,-2712475.6630177735,-4928037.908030684,-0.6796623035549124,-0.4582522070105787,1496738.6624803264,1488326.967838374,-0.24154662873821212,0.89034274789846,0.3859339547251883,0.9916082135904103,-0.12926974143723738,-0.0015762895625309615,True,0.0,10374861.498338923,-0.7147250253745465,3.64309099790278,False,378472478.8408162,False,0.6573982921949619,155.80339525020597,0.0,-2.2298451559275007e-05,9.811122861700561e-06,2.9495746080611493e-06,0.0
1200.0,9747807.841823341,-1113552.7736647876,-2214834.9440128678,5618.66347566578,2513.127196464773,5027.910856111342,9613193.68301166,-1961189.6169809415,-2214834.9440128678,-0.2229393519630104,-0.2012485360259068,3680996.3088454287,3679956.8218963575,-0.24165876024552732,0.8903171325263979,0.3859228512624865,0.9911128594763285,-0.1327792229022784,-0.008060877503247816,False,1361.0,9251527.837450167,-0.2164929013843272,3.583232581502143,False,374567131.9322769,False,0.4021206002646223,95.30258226271549,0.0,-5.093628811886118e-06,5.818769290012701e-07,-6.798553666887605e-06,0.0
1800.0,12515366.161500528,431577.417021798,875801.5736577285,3737.071003977394,2586.1804019614674,5172.06168975269,12464194.732191794,-1210164.8240293602,875801.5736577285,0.07006036378375549,-0.0967879261939106,6175360.337207301,6175256.071984045,-0.24177088853057313,0.8902915052649643,0.3859117426461408,0.9905365002455347,-0.13635543358486807,-0.01564088914385542,False,1361.0,9363974.09333222,0.2458740486573672,3.5614406043856253,True,372068208.5112508,False,0.25814601880822413,61.18060645754912,0.0,8.538882202513728e-07,2.944531288705371e-08,-4.032407800045467e-06,0.0
2400.0,14359843.131770378,1956038.8409967597,3924125.7576012234,2493.9875374154744,2481.3986761176,4961.201837095831,14481074.728930892,-574158.0023476915,3924125.7576012234,0.26514900570992506,-0.03962809609944932,8637650.034042045,8636187.682715844,-0.24188301359187944,0.8902658661144939,0.3859006288762961,0.9899415302314476,-0.13957018348453828,-0.023150175055758896,False,1361.0,10429361.459354427,0.6074527203017119,3.560906792140757,True,370504783.24839574,False,0.18045797539637712,42.76854016894138,0.0,1.7935809221898143e-06,2.443142251681085e-07,-1.9016328631301951e-06,0.0
3000.0,15585590.54454168,3400742.568019152,6812314.6078965925,1641.7045370155017,2331.459533780304,4660.515757610551,15952170.59953942,-62735.948503645704,6812314.6078965925,0.4044907956665708,-0.003932732832752738,10971151.931123804,10967851.382130485,-0.24199513542050294,0.8902402150770312,0.3858895099538388,0.9893535093438038,-0.1423562078341362,-0.030238115685078996,False,1361.0,11990093.395829067,0.8659936513731261,3.5778868650263664,True,369561272.27947205,False,0.1352040137803282,32.04335126593779,5.997892133731021,1.642026199622501e-06,3.582866096026497e-07,-8.333828841628826e-07,0.0
3600.0,16377282.180257175,4752913.026667379,9515049.516377483,1028.519063092136,2176.345282548524,4349.778884325908,17049632.300417792,339988.63419820037,9515049.516377483,0.5098726565925186,0.0199384698563943,13154914.862855233,13149835.786491409,-0.24210725403000322,0.8902145521494725,0.38587838587742346,0.9887851108760041,-0.14473621619190252,-0.03681619524583058,False,1361.0,13741255.214212522,1.0495843452787301,3.6134217380821343,True,369047299.89626294,False,0.10667763146422889,25.282598657022245,8.782917687593654,1.3326756357333658e-06,3.8676083856179113e-07,-3.128156257972108e-07,0.0
4200.0,16850242.617034245,6013778.489861863,12034928.920005992,568.6140475587733,2028.0822670916377,4052.9284830314236,17879292.81360593,653526.1765083403,12034928.920005992,0.5930672493463544,0.036535861165937975,15190894.568454359,15184231.192933697,-0.2422193694114644,0.8901888773338557,0.3858672566479336,0.9882436528297249,-0.1467507271692721,-0.04288014362210235,False,1361.0,15528619.785286833,1.1831844228278807,3.672210807765802,True,368844208.4953232,False,0.08749732416366329,20.7368658267882,9.80151650710358,1.0566344812306985e-06,3.7710826243224347e-07,-5.282904750933495e-08,0.0
4800.0,17080136.48983251,7188619.131384821,14382601.72605645,211.91424026396544,1889.7700246875306,3776.096805871833,18509595.167779658,895652.9753915241,14382601.72605645,0.6608968187928187,0.04835086365592736,17087663.668933615,17079623.761372384,-0.24233148156336143,0.8901631906305285,0.3858561222655196,0.9877337627780807,-0.14843966339419826,-0.04845286575292678,False,1361.0,17280269.057349384,1.2827582901645205,3.7636679165677838,True,368874192.43792844,False,0.07392895740193238,17.521162904257974,10.049314492888032,8.399499466225985e-07,3.535147543634226e-07,8.013599010335924e-08,0.0
5400.0,17118979.270118948,8283524.767666797,16570305.006093487,-72.23554356790092,1761.5416118972644,3519.5103889420857,18987015.89002061,1081416.3950192644,16570305.006093487,0.7175735926506751,0.0568941071596564,18855112.972135663,18845884.12713749,-0.2424435904843347,0.8901374920398007,0.3858449827303161,0.9872585013046791,-0.14983811197456293,-0.053564837361253295,False,1361.0,18963594.501183204,1.3574027603003678,3.9044154728956517,True,369083778.16506207,False,0.0639379995145568,15.15330588494996,9.95286889511073,6.746742581970718e-07,3.264611072716041e-07,1.4862951413278815e-07,0.0
