t_s,q_w,q_x,q_y,q_z,omega_x_rad_s,omega_y_rad_s,omega_z_rad_s,angular_speed_rad_s,angular_speed_deg_s,q_norm,rotational_kinetic_energy_j,angular_momentum_norm_nms,magnetic_field_norm_t,gravity_gradient_torque_x_nm,gravity_gradient_torque_y_nm,gravity_gradient_torque_z_nm,srp_torque_x_nm,srp_torque_y_nm,srp_torque_z_nm,drag_torque_x_nm,drag_torque_y_nm,drag_torque_z_nm,residual_magnetic_torque_x_nm,residual_magnetic_torque_y_nm,residual_magnetic_torque_z_nm,magnetic_torque_x_nm,magnetic_torque_y_nm,magnetic_torque_z_nm,total_torque_x_nm,total_torque_y_nm,total_torque_z_nm,commanded_dipole_x_a_m2,commanded_dipole_y_a_m2,commanded_dipole_z_a_m2,wheel_momentum_x_nms,wheel_momentum_y_nms,wheel_momentum_z_nms,wheel_momentum_norm_nms,wheel_desat_active_flag,wheel_saturated_flag
0.0,1.0,0.0,0.0,0.0,0.17453292519943295,0.0,0.0,0.17453292519943295,10.0,1.0,2.062513779805839,23.634666954089877,4.586374958754879e-05,7.663059256572068e-05,-7.54520644749484e-20,2.204042129147693e-20,0.0,0.0,0.0,-1.761766611517007e-22,-2.3582796568837013e-06,-3.523533223034014e-22,-4.973414839435599e-06,-6.95868403557413e-06,5.976291286594138e-06,-0.005235987755982987,9.118443919920328e-19,1.061734896978036e-18,-0.005164330578256702,-9.316963692456995e-06,5.976291286595222e-06,2.7941610575135583e-30,-86.60772464744082,74.38087252075393,0.0,0.0,0.0,0.0,False,False
60.0,0.46923052636748236,-0.8830757119136368,4.230000968513046e-06,-1.1628686481915217e-05,0.17223164746897912,1.354395235945231e-07,1.9176795217774792e-07,0.17223164746913913,9.868146498566718,1.0,2.0084824222380697,23.32303559482812,4.55235936933638e-05,2.4245959437946208e-05,-5.119034033971633e-06,2.289392467046906e-05,0.0,0.0,0.0,-9.544925711137732e-08,-1.9179379171827724e-06,-1.9089851422275464e-07,1.7090090688619068e-06,-1.3538141573389905e-06,-9.543664590125608e-06,-0.005084505527129891,0.0006429157508635759,-7.644353769274895e-05,-0.005058646007880195,0.0006345249647550825,-6.328417612662826e-05,0.00013493887387765234,-13.29256573421887,-111.80390436299125,0.0004861709997774932,-5.744688313099015e-05,4.1077188108969414e-05,0.0004912735702122113,False,False
120.0,-0.6147570967195485,-0.7887160256017901,2.2479894818625524e-05,0.0008616765766331106,0.1699921407746328,5.27098803538747e-06,-4.223091309248558e-06,0.16999214090880904,9.739832224467944,1.0000000000000002,1.956589916814491,23.019769115694093,4.4525938639747665e-05,-9.003980466618807e-05,-5.046762320352781e-05,-3.4192551170929515e-05,0.0,0.0,0.0,9.182951875349541e-08,-9.901854075308967e-07,1.8365903750699082e-07,2.3250565140992003e-06,6.535462982611047e-06,3.7706999088252933e-06,-0.004776689269891268,-0.0007051634009102223,0.0010228461934547969,-0.004864312188524603,-0.00075008574653867,0.0009926080012301996,-0.001266921968230303,91.26453336666492,62.91303370001183,0.00026924990269533,0.00013641206999797268,-3.2995803648399196e-06,0.0003018520335746647,False,False
180.0,-0.9532882170462551,0.3020515860130732,-0.0023498609963948543,0.0009448709207981545,0.1678881630858618,4.076249239408167e-06,1.6623402332449498e-05,0.16788816395832745,9.619283225012545,1.0,1.9084565947772805,22.734855845887502,4.2935939827945226e-05,-2.522017393368187e-05,0.00010961643214997855,9.64523095025505e-06,0.0,0.0,0.0,-1.5309317970944643e-08,-5.858771894801581e-07,-3.0618635941889286e-08,-4.195102337460455e-06,-8.708899189569939e-06,-6.373890292980571e-07,-0.004334519008359897,-0.0002116200245009239,-0.001731902000177028,-0.00436394959394901,-0.00011129836872999545,-0.001722924776892013,0.001316143218858556,-108.02206955180128,13.195855282260075,-2.0999642436240727e-05,-0.00040982948084085266,0.0002589735131173603,0.00048525093389408365,False,False
240.0,0.011692837215231447,0.9999194363970889,-0.0031665055571993275,-0.0037909782039138072,0.16598184321236467,-4.6773336561312376e-05,-1.9656370150979542e-05,0.1659818509665798,9.510059536154447,1.0,1.8653629843983568,22.476710630170906,4.0852048965428616e-05,6.033699230326332e-05,-0.00012497805840299848,3.4325923800523865e-05,0.0,0.0,0.0,-9.651971888503146e-09,-7.769904038519649e-08,-1.9303943777006292e-08,3.8400968760661465e-06,4.2945714048306365e-06,-6.771244694603315e-06,-0.003790799835443602,0.0014228237339270226,0.0015762149390822597,-0.003726632398236161,0.0013020625478884695,0.0016037503142444032,0.013815162680105755,78.96744704891805,-71.24941184595046,6.819305559422007e-06,-0.0005411370288031336,-0.000496841899622983,0.0007346615956283346,False,False
300.0,0.973653219985528,0.2278961911589813,0.004569907892928727,-0.0064690964510081645,0.16431647881638728,0.00010028394052887756,-8.625162386967901e-06,0.16431650964488748,9.414642506972738,1.0,1.8281196392459451,22.25119976145971,3.839331498413228e-05,6.730374076796928e-05,9.538640080682504e-05,-7.341802568486361e-05,0.0,0.0,0.0,5.145891761015606e-09,-3.456966410913291e-08,1.0291783522031212e-08,-2.4398451819529347e-06,-3.0942200607034527e-06,3.570940606404833e-06,-0.003186065994095261,-0.0022375323883907046,-0.0007447587541993578,-0.0031211969526174837,-0.002145274777308692,-0.0008145955474942946,0.025060663851433913,-32.63786186270728,97.9490709782458,0.00019200882506259287,0.00025440659289769013,0.00011706348191939431,0.0003395496461650649,False,False
360.0,0.412846320507728,-0.9107320434584246,0.010304116832048592,0.004345783886059761,0.16291726985009394,-0.00011774483770017056,6.850345179582928e-05,0.16291732680098223,9.334475235249855,1.0,1.7971191312256096,22.061734475560954,3.568572599392666e-05,3.0163421481855716e-05,-4.34331426327633e-05,9.571097048146756e-05,0.0,0.0,0.0,-1.156736229909055e-09,-3.041744181391477e-09,-2.31347245981811e-09,9.889057975299844e-07,-1.8200364885037904e-06,-7.595696167127518e-06,-0.0025649039707555353,0.00242649800667952,-0.0002802441325157188,-0.0025337528002123797,0.0023812417858140715,-0.00019213117167383856,0.03325510542945148,-11.352664752159075,-98.60158104123315,0.0003674727148758533,-0.0013862032359657132,-0.0005688685727837347,0.001542791969346823,False,False
420.0,-0.8344797353591727,-0.550850085444475,-0.0030873305154436982,0.014079170110063892,0.1617899886704121,6.454312633976986e-05,-0.00013102266654604604,0.16179005459769888,9.269887295639306,1.0,1.7723360319344732,21.909091661180355,3.285004319206663e-05,-5.661496198242074e-06,-9.47985303471576e-06,-0.00010130048985566967,0.0,0.0,0.0,1.5787842375125823e-10,-4.1842670445163517e-10,3.1575684750251646e-10,6.932866972503208e-08,7.155123768446093e-07,1.1537100747890904e-06,-0.001971120447662702,-0.002099863769971764,0.0011318116972372193,-0.001976712457312795,-0.0021086285290563395,0.0010316652332131861,0.04935276572085778,44.658383798271885,82.94118415483294,0.00037512808482531725,0.0005187944716729252,-0.00048816920177423924,0.0008050949965215272,False,False
480.0,-0.6528498702271437,0.757287741144801,-0.01735842916025122,-0.0010044865828677304,0.160923807122936,4.807046087760929e-05,0.00015876518438312363,0.1609238926203716,9.220259869963746,1.0,1.7534104607354024,21.79180707067775,2.999274965869525e-05,-2.5075266499973673e-05,5.188626707590035e-05,9.537273161378925e-05,0.0,0.0,0.0,-1.4773418638001017e-11,-4.323641988976612e-11,-2.9546837276002034e-11,-6.739871030225006e-07,-3.6976147719582427e-06,-4.6992811318264826e-06,-0.001443161788535298,0.0014724255683684511,-0.001649895345099123,-0.0014689110569117128,0.0015206141774359732,-0.0015592219241639977,0.07748477706331354,-65.6540051659972,-58.65975634705793,0.00038700295702449666,-0.0016467127520302,-0.0005384138013375522,0.001775196777237761,False,False
540.0,0.6842328584483328,0.7289903416942453,-0.0015807832961893477,-0.019899202504170377,0.1602893152372353,-0.00017368438941080147,-0.00012835307330911157,0.16028946072652547,9.183909600057872,1.0,1.7396127849896432,21.7059006678512,2.7200717914239074e-05,-3.057926250701883e-05,-8.066792205279232e-05,-8.328521537017959e-05,0.0,0.0,0.0,0.0,0.0,0.0,9.209337429119567e-07,1.1020904865267317e-06,-1.4795539985943634e-06,-0.001011196791110067,-0.0007314299892977398,0.001818847150377006,-0.0010408551198741738,-0.0008109958208640054,0.001734082381008232,0.10577312621896726,75.21854599097165,30.30714137994513,0.00033117620841856173,0.00026396707167146476,-0.0010635243479079012,0.001144744659101858,False,False
