t_s,gs_range_m,gs_elevation_rad,gs_contact_flag,moon_range_m,moon_occulted_flag,xband_range_m,xband_frequency_hz,xband_data_rate_bps,xband_tx_power_w,xband_tx_gain_dbi,xband_rx_gain_dbi,xband_eirp_dbw,xband_g_over_t_db_per_k,xband_fspl_db,xband_propagation_loss_db,xband_implementation_loss_db,xband_carrier_power_dbw,xband_noise_density_dbw_hz,xband_cn0_db_hz,xband_ebn0_db,xband_required_ebn0_db,xband_margin_db,xband_margin_threshold_db,xband_geometry_flag,xband_margin_ok_flag,xband_available_flag,xband_active_rate_bps,xband_volume_bits,xband_cumulative_volume_bits,uhf_range_m,uhf_frequency_hz,uhf_data_rate_bps,uhf_tx_power_w,uhf_tx_gain_dbi,uhf_rx_gain_dbi,uhf_eirp_dbw,uhf_g_over_t_db_per_k,uhf_fspl_db,uhf_propagation_loss_db,uhf_implementation_loss_db,uhf_carrier_power_dbw,uhf_noise_density_dbw_hz,uhf_cn0_db_hz,uhf_ebn0_db,uhf_required_ebn0_db,uhf_margin_db,uhf_margin_threshold_db,uhf_geometry_flag,uhf_margin_ok_flag,uhf_available_flag,uhf_active_rate_bps,uhf_volume_bits,uhf_cumulative_volume_bits
600.0,10374861.498338923,-0.7147250253745465,False,378472478.8408162,False,10374861.498338923,8400000000.0,100000000.0,20.0,32.23670662807107,46.358511105937545,45.24700658471088,24.59759851538073,191.2530150972448,3.2,2.0,-102.84749740659637,-206.83825458266085,103.99075717606448,21.990757176064477,5.0,16.990757176064477,3.0,False,True,False,0.0,0.0,0.0,378472478.8408162,450000000.0,10000.0,25.0,20.0,18.0,33.979400086720375,-8.989700043360187,197.0727195903804,2.5,2.0,-147.59331950366,-201.60946712985748,54.016147626197466,12.016147626197466,6.0,6.016147626197466,3.0,True,True,True,10000.0,600000.0,6600000.0
660.0,10212335.769363033,-0.6655858063714417,False,378005498.8478823,False,10212335.769363033,8400000000.0,100000000.0,20.0,32.23670662807107,46.358511105937545,45.24700658471088,24.59759851538073,191.11587065210347,3.2,2.0,-102.71035296145504,-206.83825458266085,104.12790162120581,22.127901621205808,5.0,17.127901621205808,3.0,False,True,False,0.0,0.0,0.0,378005498.8478823,450000000.0,10000.0,25.0,20.0,18.0,33.979400086720375,-8.989700043360187,197.06199584873383,2.5,2.0,-147.58259576201345,-201.60946712985748,54.02687136784402,12.026871367844024,6.0,6.0268713678440236,3.0,True,True,True,10000.0,600000.0,7200000.0
720.0,10059325.556602003,-0.6161288419420146,False,377556128.3332502,False,10059325.556602003,8400000000.0,100000000.0,20.0,32.23670662807107,46.358511105937545,45.24700658471088,24.59759851538073,190.98474621782714,3.2,2.0,-102.57922852717871,-206.83825458266085,104.25902605548214,22.25902605548214,5.0,17.25902605548214,3.0,False,True,False,0.0,0.0,0.0,377556128.3332502,450000000.0,10000.0,25.0,20.0,18.0,33.979400086720375,-8.989700043360187,197.0516639763451,2.5,2.0,-147.57226388962474,-201.60946712985748,54.03720324023274,12.037203240232742,6.0,6.037203240232742,3.0,True,True,True,10000.0,600000.0,7800000.0
780.0,9916621.696903113,-0.5664061152427554,False,377124335.7747581,False,9916621.696903113,8400000000.0,100000000.0,20.0,32.23670662807107,46.358511105937545,45.24700658471088,24.59759851538073,190.86064386145216,3.2,2.0,-102.45512617080374,-206.83825458266085,104.38312841185711,22.383128411857115,5.0,17.383128411857115,3.0,False,True,False,0.0,0.0,0.0,377124335.7747581,450000000.0,10000.0,25.0,20.0,18.0,33.979400086720375,-8.989700043360187,197.0417246626959,2.5,2.0,-147.56232457597554,-201.60946712985748,54.04714255388194,12.04714255388194,6.0,6.04714255388194,3.0,True,True,True,10000.0,600000.0,8400000.0
840.0,9784915.445027852,-0.5164748258673586,False,376709941.3363341,False,9784915.445027852,8400000000.0,100000000.0,20.0,32.23670662807107,46.358511105937545,45.24700658471088,24.59759851538073,190.74451048543068,3.2,2.0,-102.33899279478226,-206.83825458266085,104.4992617878786,22.499261787878595,5.0,17.499261787878595,3.0,False,True,False,0.0,0.0,0.0,376709941.3363341,450000000.0,10000.0,25.0,20.0,18.0,33.979400086720375,-8.989700043360187,197.0321751242081,2.5,2.0,-147.55277503748772,-201.60946712985748,54.05669209236976,12.056692092369758,6.0,6.056692092369758,3.0,True,True,True,10000.0,600000.0,9000000.0
900.0,9664796.159683488,-0.46639827448268856,False,376312647.4012433,False,9664796.159683488,8400000000.0,100000000.0,20.0,32.23670662807107,46.358511105937545,45.24700658471088,24.59759851538073,190.63722291815543,3.2,2.0,-102.231705227507,-206.83825458266085,104.60654935515385,22.606549355153845,5.0,17.606549355153845,3.0,False,True,False,0.0,0.0,0.0,376312647.4012433,450000000.0,10000.0,25.0,20.0,18.0,33.979400086720375,-8.989700043360187,197.02300979066862,2.5,2.0,-147.54360970394825,-201.60946712985748,54.06585742590923,12.065857425909229,6.0,6.065857425909229,3.0,True,True,True,10000.0,600000.0,9600000.0
960.0,9556750.756460402,-0.4162462562640582,False,375932065.50625753,False,9556750.756460402,8400000000.0,100000000.0,20.0,32.23670662807107,46.358511105937545,45.24700658471088,24.59759851538073,190.53957413508556,3.2,2.0,-102.13405644443714,-206.83825458266085,104.70419813822372,22.704198138223717,5.0,17.704198138223717,3.0,False,True,False,0.0,0.0,0.0,375932065.50625753,450000000.0,10000.0,25.0,20.0,18.0,33.979400086720375,-8.989700043360187,197.01422091501843,2.5,2.0,-147.53482082829805,-201.60946712985748,54.074646301559426,12.074646301559426,6.0,6.074646301559426,3.0,True,True,True,10000.0,600000.0,10200000.0
1020.0,9461164.34429769,-0.366095046957011,False,375567740.1522107,False,9461164.34429769,8400000000.0,100000000.0,20.0,32.23670662807107,46.358511105937545,45.24700658471088,24.59759851538073,190.4522606715523,3.2,2.0,-102.04674298090387,-206.83825458266085,104.79151160175698,22.79151160175698,5.0,17.79151160175698,3.0,False,True,False,0.0,0.0,0.0,375567740.1522107,450000000.0,10000.0,25.0,20.0,18.0,33.979400086720375,-8.989700043360187,197.00579911625897,2.5,2.0,-147.5263990295386,-201.60946712985748,54.08306810031888,12.083068100318883,6.0,6.083068100318883,3.0,True,True,True,10000.0,600000.0,10800000.0
1080.0,9378322.069025509,-0.3160268899895649,False,375219168.38608766,False,9378322.069025509,8400000000.0,100000000.0,20.0,32.23670662807107,46.358511105937545,45.24700658471088,24.59759851538073,190.37587180590742,3.2,2.0,-101.970354115259,-206.83825458266085,104.86790046740185,22.867900467401853,5.0,17.867900467401853,3.0,False,True,False,0.0,0.0,0.0,375219168.38608766,450000000.0,10000.0,25.0,20.0,18.0,33.979400086720375,-8.989700043360187,196.99773382882628,2.5,2.0,-147.5183337421059,-201.60946712985748,54.09113338775157,12.091133387751569,6.0,6.091133387751569,3.0,True,True,True,10000.0,600000.0,11400000.0
1140.0,9308411.826079128,-0.2661291097978841,False,374885816.2010128,False,9308411.826079128,8400000000.0,100000000.0,20.0,32.23670662807107,46.358511105937545,45.24700658471088,24.59759851538073,190.31088072814615,3.2,2.0,-101.90536303749772,-206.83825458266085,104.93289154516313,22.93289154516313,5.0,17.93289154516313,3.0,False,True,False,0.0,0.0,0.0,374885816.2010128,450000000.0,10000.0,25.0,20.0,18.0,33.979400086720375,-8.989700043360187,196.99001368153947,2.5,2.0,-147.5106135948191,-201.60946712985748,54.09885353503839,12.098853535038387,6.0,6.098853535038387,3.0,True,True,True,10000.0,600000.0,12000000.0
