t_s,coating,power_w,mean_solar_view_factor,mean_earth_view_factor,temp_internal_k,temp_internal_c,temp_min_k,temp_max_k,internal_cold_limit_flag,internal_hot_limit_flag,external_cold_limit_flag,external_hot_limit_flag,coating_x_pos,solar_view_x_pos,earth_view_x_pos,temp_x_pos_k,temp_x_pos_c,coating_x_neg,solar_view_x_neg,earth_view_x_neg,temp_x_neg_k,temp_x_neg_c,coating_y_pos,solar_view_y_pos,earth_view_y_pos,temp_y_pos_k,temp_y_pos_c,coating_y_neg,solar_view_y_neg,earth_view_y_neg,temp_y_neg_k,temp_y_neg_c,coating_z_pos,solar_view_z_pos,earth_view_z_pos,temp_z_pos_k,temp_z_pos_c,coating_z_neg,solar_view_z_neg,earth_view_z_neg,temp_z_neg_k,temp_z_neg_c,component_limit_flag
0.0,mixed,1200.0,0.2680859413424812,0.16666666666666666,293.15,20.0,293.15,293.15,False,False,False,False,white,0.0,0.0,293.15,20.0,MLI,0.2414344940100425,4.930380657631324e-32,293.15,20.0,white,0.0,0.0,293.15,20.0,MLI,0.6233162288324143,0.0,293.15,20.0,MLI,0.0,0.0,293.15,20.0,OSR/FEP,0.7437649252124303,0.9999999999999999,293.15,20.0,False
60.0,mixed,1200.0,0.26019410159861517,0.16666666666666666,293.69635232434354,20.54635232434356,286.6665237652224,293.69635232434354,False,False,False,False,white,0.0,1.3877787807814457e-17,286.6665237652224,13.516523765222416,MLI,0.17592818249233938,0.0,292.899343526919,19.749343526919006,white,0.0,0.0,286.6665237652224,13.516523765222416,MLI,0.6233026484742421,0.0,292.899343526919,19.749343526919006,MLI,0.0,0.0,292.899343526919,19.749343526919006,OSR/FEP,0.7619337786251097,1.0,289.9497931851316,16.799793185131648,False
120.0,mixed,1200.0,0.25118161548908086,0.16666666666666666,294.13089139054193,20.980891390541956,281.49364301549036,294.13089139054193,False,False,False,False,white,0.0,0.0,281.49364301549036,8.343643015490386,MLI,0.10951489577101356,0.0,292.7347871426228,19.584787142622815,white,0.0,5.551115123125783e-17,281.49364301549036,8.343643015490386,MLI,0.6232929260323985,0.0,292.7347871426228,19.584787142622815,MLI,0.0,0.0,292.7347871426228,19.584787142622815,OSR/FEP,0.7742818711310728,1.0,287.412971750194,14.262971750194026,False
180.0,mixed,1200.0,0.24120189204492837,0.16666666666666663,294.4768386586295,21.326838658629526,277.3447641895705,294.4768386586295,False,False,False,False,white,0.0,0.0,277.3447641895705,4.194764189570549,MLI,0.043120980415138274,2.7755575615628914e-17,292.63463255631956,19.484632556319582,white,0.0,0.0,277.3447641895705,4.194764189570549,MLI,0.6232870279977709,0.0,292.63463255631956,19.484632556319582,MLI,0.0,0.0,292.63463255631956,19.484632556319582,OSR/FEP,0.7808033438566611,0.9999999999999998,285.37596551715666,12.22596551715668,False
240.0,mixed,1200.0,0.23788861275761175,0.16666666666666666,294.7522145334917,21.602214533491747,274.0034898521153,294.7522145334917,False,False,False,False,white,0.02237206229765333,5.551115123125783e-17,274.0034898521153,0.8534898521153309,MLI,0.0,0.0,292.58211799249466,19.432117992494682,white,0.0,0.0,274.0034898521153,0.8534898521153309,MLI,0.6232846936554948,5.551115123125783e-17,292.58211799249466,19.432117992494682,MLI,0.0,0.0,292.58211799249466,19.432117992494682,OSR/FEP,0.7816749205925224,1.0,283.71316249488837,10.563162494888388,False
300.0,mixed,1200.0,0.24778150426738432,0.16666666666666666,294.9710575042831,21.821057504283146,271.30378337620834,294.9710575042831,False,False,False,False,white,0.08617147767575511,0.0,271.30378337620834,-1.8462166237916335,MLI,0.0,5.551115123125783e-17,292.5643061612288,19.414306161228808,white,0.0,0.0,271.30378337620834,-1.8462166237916335,MLI,0.6232854818192837,5.551115123125783e-17,292.5643061612288,19.414306161228808,MLI,0.0,0.0,292.5643061612288,19.414306161228808,OSR/FEP,0.7772320661092671,0.9999999999999999,282.3282983110836,9.178298311083608,False
360.0,mixed,1200.0,0.25647145733434673,0.16666666666666666,295.1443360376859,21.994336037685912,269.1166299427674,295.1443360376859,False,False,False,False,white,0.14760518768056435,0.0,269.1166299427674,-4.03337005723256,MLI,0.0,0.0,292.571226520809,19.421226520809,white,0.0,0.0,269.1166299427674,-4.03337005723256,MLI,0.6232888332134632,0.0,292.571226520809,19.421226520809,MLI,0.0,0.0,292.571226520809,19.421226520809,OSR/FEP,0.7679347231120527,0.9999999999999999,281.14809918470934,7.9980991847093605,False
420.0,mixed,1200.0,0.2639603368567555,0.16666666666666666,295.28064167215047,22.13064167215049,267.3407707802895,295.28064167215047,False,False,False,False,white,0.206139852109246,0.0,267.3407707802895,-5.80922921971046,MLI,0.0,0.0,292.59521135917225,19.445211359172276,white,0.0,0.0,267.3407707802895,-5.80922921971046,MLI,0.6232941360628037,5.551115123125783e-17,292.59521135917225,19.445211359172276,MLI,0.0,0.0,292.59521135917225,19.445211359172276,OSR/FEP,0.7543280329684835,1.0,280.117404162531,6.967404162531011,False
480.0,mixed,1200.0,0.2702815907597714,0.16666666666666666,295.3867215917596,22.236721591759647,265.89609074518074,295.3867215917596,False,False,False,False,white,0.2613855556487292,5.551115123125783e-17,265.89609074518074,-7.253909254819234,MLI,0.0,0.0,292.6303808883498,19.480380888349828,white,0.0,0.0,265.89609074518074,-7.253909254819234,MLI,0.6233007843705821,5.551115123125783e-17,292.6303808883498,19.480380888349828,MLI,0.0,0.0,292.6303808883498,19.480380888349828,OSR/FEP,0.737003204539317,1.0,279.19530435174664,6.045304351746665,False
540.0,mixed,500.0,0.27549336097392324,0.16666666666666666,295.4678906138281,22.317890613828126,264.71879187562365,295.4678906138281,False,False,False,False,white,0.3130893890742711,0.0,264.71879187562365,-8.431208124376326,MLI,0.0,5.551115123125783e-17,292.67224353448603,19.52224353448605,white,0.0,5.551115123125783e-17,264.71879187562365,-8.431208124376326,MLI,0.6233082223279351,0.0,292.67224353448603,19.52224353448605,MLI,0.0,0.0,292.67224353448603,19.52224353448605,OSR/FEP,0.7165625544413333,1.0,278.35202421577884,5.202024215778863,False
